episodes,episode_reward,mean-path-return_agent_1,max-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_1,total-samples,last-path-return_agent_0,max-path-return_agent_1
203,203,1.0,6.0,-1.0,1.0,203,-1.0,1.0
204,204,-6.0,6.0,6.0,-6.0,204,6.0,1.0
205,205,-5.0,6.0,5.0,-5.0,205,5.0,1.0
206,206,-6.0,6.0,6.0,-6.0,206,6.0,1.0
207,207,1.0,6.0,-1.0,1.0,207,-1.0,1.0
208,208,-6.0,6.0,6.0,-6.0,208,6.0,1.0
209,209,-2.0,6.0,2.0,-2.0,209,2.0,1.0
210,210,-5.0,6.0,5.0,-5.0,210,5.0,1.0
211,211,-6.0,6.0,6.0,-6.0,211,6.0,1.0
212,212,-2.0,6.0,2.0,-2.0,212,2.0,1.0
213,213,-5.0,6.0,5.0,-5.0,213,5.0,1.0
214,214,-6.0,6.0,6.0,-6.0,214,6.0,1.0
215,215,-5.0,6.0,5.0,-5.0,215,5.0,1.0
216,216,-6.0,6.0,6.0,-6.0,216,6.0,1.0
217,217,1.0,6.0,-1.0,1.0,217,-1.0,1.0
218,218,-6.0,6.0,6.0,-6.0,218,6.0,1.0
219,219,1.0,6.0,-1.0,1.0,219,-1.0,1.0
220,220,-6.0,6.0,6.0,-6.0,220,6.0,1.0
221,221,-2.0,6.0,2.0,-2.0,221,2.0,1.0
222,222,-6.0,6.0,6.0,-6.0,222,6.0,1.0
223,223,1.0,6.0,-1.0,1.0,223,-1.0,1.0
224,224,-5.0,6.0,5.0,-5.0,224,5.0,1.0
225,225,-2.0,6.0,2.0,-2.0,225,2.0,1.0
226,226,-2.0,6.0,2.0,-2.0,226,2.0,1.0
227,227,-5.0,6.0,5.0,-5.0,227,5.0,1.0
228,228,-5.0,6.0,5.0,-5.0,228,5.0,1.0
229,229,-2.0,6.0,2.0,-2.0,229,2.0,1.0
230,230,-2.0,6.0,2.0,-2.0,230,2.0,1.0
231,231,-6.0,6.0,6.0,-6.0,231,6.0,1.0
232,232,1.0,6.0,-1.0,1.0,232,-1.0,1.0
233,233,-6.0,6.0,6.0,-6.0,233,6.0,1.0
234,234,1.0,6.0,-1.0,1.0,234,-1.0,1.0
235,235,1.0,6.0,-1.0,1.0,235,-1.0,1.0
236,236,1.0,6.0,-1.0,1.0,236,-1.0,1.0
237,237,1.0,6.0,-1.0,1.0,237,-1.0,1.0
238,238,-6.0,6.0,6.0,-6.0,238,6.0,1.0
239,239,1.0,6.0,-1.0,1.0,239,-1.0,1.0
240,240,-5.0,6.0,5.0,-5.0,240,5.0,1.0
241,241,-5.0,6.0,5.0,-5.0,241,5.0,1.0
242,242,-5.0,6.0,5.0,-5.0,242,5.0,1.0
243,243,1.0,6.0,-1.0,1.0,243,-1.0,1.0
